job_title|company_name|location|position_level|jobs_location|total_vacancy|job_description|required_experience|required_education|required_language|required_soft_skill|required_technical_skill|job_type|working_hour_type|working_hour|work_day|off_day|salary_type|salary_range|job_url|scraping_date
Senior Engineer|JOHINDAH MALIM SDN BHD|JOHOR BAHRU|Engineer|JOHOR BAHRU|3|SERVICE AND REPAIR MARINE COMMUNICATION AND NAVIGATION EQUIPMENT|At least 5 year of experience|Diploma / Degree /|English /|Written communication / Supervising / Speaking /|Microsoft Office / Project Documentation /|Full Time|Office Hour|08:30 AM to 06:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 6,000 - RM 7,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE2OA==|2026-02-18 12:21:58
FIELD SERVICE ENGINEER|LEDDER ENTERPRISE SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"1.	Responsible for maintenance, installation and repair of telecom system & equipment.
2.	Liaise with Project Team regarding work need to be done and make necessary arrangement for a smooth and safe work flow and according to 12 lifesaving HSSE rule.
3.	Representative during project implementation.
4.	Provide Onshore & Offshore support.
5.    Prepare technical and maintenance report and prepare for presentation whenever required."|At least 5 year of experience|Degree /|Malay / English /|Written communication / Documenting / Reporting / Flexibility / Sourcing feedback /|Microsoft Office / Network Security / Network protocols / Project Planning and Scheduling /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 5,000 - RM 5,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQ1OQ==|2026-02-18 12:21:58
COLD WORK SUPERVISOR|SEA HORSE SERVICES SDN BHD|KOTA KINABALU|Operations|KOTA KINABALU|2|"1.Shall have constructive discussions and meetings with CLIENT on all matters pertaining to the work at SITE(s).
2.Shall report to the Project Manager and OTL. 
3. Shall be responsible for the daily and shall liaise with Project Manager and OTL on all matters pertaining to the WORKS. 
4. ON SITE, shall coordinate all activities, and ensure that all resources under his charge are utilised in the safest and efficient way to satisfy the specific requirements of the WORK. 
5. ON SITE, shall ensure all materials are properly maintained and maintenance records are kept. 
6. Shall attend project meetings, and HSE reviews. 
7. Shall attend and provide supervision at SITE(s). 
8. Shall go offshore to oversee work scoping if required and prepare work scoping report. 
9. Shall update, monitor, and report project progress based on actual versus planned. 

REQUIREMENTS:
Shall possess the following: 
1. minimum 8 years’ experience in oil and gas industry, of which at least 3 years’ experience involving cold work repair (surface preparation without hot work and composite wet lay-up). 
2. Shall possess working knowledge in supervising, executing, planning, and reporting of cold work repair projects in oil and gas industry. 
3. Shall be proficient with reporting software such as Microsoft Word and Excel"|10 year of experience|SPM /|English /|Reporting /|Microsoft Word  /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Friday / Saturday /|Sunday /|Monthly Salary|RM 2,000 - RM 2,700|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI0Mw==|2026-02-18 12:21:58
Electrical Engineer|SUNDUWAN ENGINEERING SERVICES SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|Able to perform electrical protection testing and maintenance for LV/HV equipment testing i.e. Switchgears|At least 1 year of experience|Degree /|Malay / English /|Planning / Delegating / Supervising /|C++  / Wireframing /|Full Time|Office Hour|08:00 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 2,000 - RM 2,499|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE2Mw==|2026-02-18 12:21:58
MUD COOLER ENGINEER|DUTA KLASIK SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|5|"Develop and assist documentation work.
Provide and develop engineering and technical knowledge related to mud cooling operation
Assist during deal in operation issue with client
Contribute idea to ensure projects succeed
Incharge for preparation and installation of mud cooler for well drilling process including mob and demob of equipment
Involve directly in maintenance, repair and inspection process 
Collect data/temperature and communicate with company man to control mud temperature in rig
operate mud cooler system 
Carry out other duties as assign by supervisor."|At least 2 year of experience|SPM / STPM / Diploma /|Malay / English /|Negotiating / Reporting / Problem-solving / Planning /|Microsoft Excel / Microsoft Office / Microsoft Word  /|Contract|Office Hour|08:00 AM to 04:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Sunday /|Monthly Salary|RM 1,700 - RM 2,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE0Mw==|2026-02-18 12:21:58
SUPPLY VESSEL Crew Hiring|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Junior Executive|KOTA KINABALU|4|"Positions Available:
 
	•	Master (Captain)
	•	Chief Officer
	•	Second Officer
	•	Chief Engineer
	•	Second Engineer
	•	Third Engineer
	•	AB (Able Seaman)
	•	Oiler
	•	Bosun
	•	Steward
	•	Cook
 
Requirements:
 
	•	Valid STCW Certificates & relevant CoC
	•	Experience on Supply / aht vessel preferred
	•	Valid Seaman’s Book & Passport
	•	Medical Fitness Certificate (ENG1 or equivalent)
	•	DP Certification (if applicable)
	•	Ready to join immediately
 
How to Apply:
 
Send your updated CV, scanned certificates, and expected salary to:
📧 tajuddin.razali@hgis.com.my
📞 +60178612324
 
Only shortlisted candidates will be contacted."|At least 3 year of experience|Diploma / Degree /|Malay / English /|Motivating / Flexibility / Reliability / Adapting / Speaking /|Microsoft Office /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,550 - RM 1,600|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI3Mw==|2026-02-18 12:21:58
Mechanical Engineer|PEMBORONG MAJU BERSATU SDN BHD|LABUAN|Engineer|LABUAN|1|"Location – Labuan

Required Qualifications: 

•	Candidate must possess at least a Certificate or Diploma in Mechanical Engineering or equivalent
•	At least 2 years of relevant working experience in Oil & Gas and/or Petrochemical industry OR; At least 3 years of relevant working experience in any other industry.
•	Knowledge of Microsoft packages including Word, Outlook, Access, Excel
•	Effective communication, including writing, speaking and interpersonal communication"|At least 4 year of experience|Degree /|Malay / English /|Problem-solving / Managing / Planning /|Microsoft Project / Project Planning and Scheduling / Project Budgeting /|Contract|Office Hour|07:30 AM to 04:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 6,000 - RM 9,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEwOQ==|2026-02-18 12:21:58
Well Supervisor|HIBISCUS OIL AND GAS MALAYSIA LIMITED|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"Supervision of well interventions and integrity activities on offshore production platforms, including planning and coordination of slickline, coil tubing, Electric wireline, logging, stimulation, clean-out, conformance control and other well servicing operations.

Well maintenance and well integrity management is also an important part of the job.

KEY ACCOUNTABILITIES

- Responsible for on-site safety, well control and environment on the worksite.
- Ensure operations are carried out in a safe and efficient way and ensure HSSE standards and practices are maintained for all well intervention and integrity activities.
- Conduct behavior-based site observations in accordance with Company requirements to monitor and enhance HSSE performance and as an integral element of well integrity and program compliance auditing.
- Lead, coordinate and manage all ongoing routine well interventions and integrity operations with onboard service personnel, as per company procedures and guidelines.
- Become 2nd shift supervisor when 24hrs operations applies / required.
- Lead, coordinate and manage non-routine well interventions operations with onboard service personnel, including offshore vessels management throughout non-routine campaign duration.
- Produce daily written operations report and liaise with Well Services Engineer & Wells Planner onshore on a daily basis.
- Active management of service providers offshore to ensure a safe and efficient operation within the approved work program.
- Establish and maintain good communication with platform personnel; interface with platform/rig management to ensure appropriate control of simultaneous operations and facility interfaces.
- Provide technical advice and support on intervention matters at Risk Assessment / Planning and Operational meetings, studies, proposals, programs, etc.
- Review approved work programs prior to work execution to ensure that the integrity of the well is appropriately considered during well intervention activities.
- Work with Service Companies to ensure they deliver quality equipment and services to the schedule and cost agreed.
- Ensure compliance at the wellsite for well integrity and program adherence.
- Verify contractor procedures for the intervention.
- Supervision of Wellhead Maintenance and Well Integrity operations on wells surface equipment, including Christmas Tree, Wellheads, Downhole Safety Valves, Annuli.
- Co-ordinate & organize equipment for the intervention; conduct pre-mob equipment QA/QC, surface/system integration test (SIT) and acceptance test at service companies’ facility.
 
WORK ENVIRONMENT

- Offshore based role with 14/14 days rotational.
- Occasional extended offshore duty when required i.e. relief supervisor unable to make on schedule, standby due to waiting on weather, accepted for rig ops task etc.
- Occasional office work to assist Well Intervention Engineers during off-days or prolong period of no well intervention activities offshore.
- Occasional trips to Asian Supply Base (ASB) to conduct inspections, audits and meetings with service contractors.
 
REQUIREMENTS AND QUALIFICATIONS

- Possess at least a diploma or equivalent of vocational certificates in Mechanical or Petroleum Engineering.
- At least 7 years of well engineering and operations experience (primarily well intervention operations, Wellhead Maintenance & Corrective / Remedial works).
- Possession of a valid IWCF certificate at supervisor level (at least basic elements – well completion / slickline).
- BOSIET or equivalent certified."|At least 5 year of experience|Diploma /|Malay / English /|Reporting /|Risk Management /|Full Time|Office Hour|06:00 AM to 06:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monthly Salary|RM 5,000 - RM 10,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE0Nw==|2026-02-18 12:21:58
MARINE CREW - THIRD ENGINEER - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|2|"The Third Engineer or Fourth Engineer reports to the Chief Engineer. It is not a normal complement but, if on board, is responsible to the Chief Engineer for engine room watchkeeping and to the Second Engineer for maintenance activities.

60 Days Contract"|At least 1 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Troubleshooting /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 630 - RM 840|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwNw==|2026-02-18 12:21:58
Roving Engineer|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"Respond to urgent maintenance requests promptly to minimize downtime.
Coordinate with site managers or clients to schedule maintenance work.
Maintain accurate service logs and reports.
Ensure all work complies with safety regulations and company standards.
Provide technical support and training to on-site personnel when needed.
Monitor equipment performance and recommend improvements or replacements."|At least 3 year of experience|Diploma / Degree /|Malay / English /|Conflict management / Flexibility / Reliability / Problem-solving /|Project Documentation /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,550 - RM 1,600|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI4MQ==|2026-02-18 12:21:58
Analogue Engineer|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|2|"• Install, configure, and integrate analogue equipment including sensors, transducers, 
hydrophones, geophysical and geotechnical tools.
• Verify signal integrity and ensure proper interfacing with onboard data acquisition systems.
• Perform continuity, resistance, and voltage tests using multimeters, oscilloscopes, and signal 
generators.
• Assist in the mobilization and demobilization of analogue systems, ensuring proper 
documentation and packing of equipment.
• Conduct regular system checks to monitor the performance of analogue signals.
• Troubleshoot faulty signal paths, grounding issues, noise interference, and connectivity 
problems.
• Repair or replace damaged cables, connectors, terminal blocks, and other interface 
components.
• Ensure redundancy and reliability of signal chains to minimize downtime.
• Calibrate sensors and instrumentation to meet project-specific tolerances and accuracy 
requirements.
• Validate signal accuracy against known standards or reference values.
• Work with software tools to compare analogue readings with digital outputs for alignment and 
consistency.
• Assist Data Engineers in ensuring analogue inputs are accurately logged in data acquisition 
systems.
• Monitor real-time signal feeds and alert the team to anomalies or signal loss.
• Maintain clear records of sensor configurations, wiring diagrams, and equipment labels.
• Maintain up-to-date technical logs, daily activity reports, and calibration sheets.
• Create and update equipment inventory lists, fault reports, and maintenance schedules.
• Provide feedback and technical input for post-project debriefs and lessons learned.
• Comply with offshore safety procedures, PPE use, and permit-to-work systems.
• Participate in safety drills and toolbox talks as required.
• Ensure that all analogue systems are compliant with relevant industry standards and 
certifications.
• Coordinate closely with other engineering disciplines such as Data Engineers, Surveyors, and 
Navigators.
• Provide on-site training or guidance to junior technical staff when necessary.
• Support the client’s representatives and Party Chief with technical input related to analogue 
systems."|At least 5 year of experience|Diploma / Degree /|Malay / English /|Managing / Adapting / Crisis managing / Signaling / Code-switching /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,550 - RM 1,600|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI3MA==|2026-02-18 12:21:58
Geophysicist|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|2|"• Assist in mobilization planning and equipment readiness.
• Ensure all geophysical survey parameters and data acquisition setups are configured according 
to project specifications.
• Supervise and monitor geophysical data acquisition activities.
• Collaborate with surveyors and vessel crew to ensure safe and efficient field operations.
• Perform real-time QA/QC of acquired geophysical data to ensure accuracy and integrity.
• Troubleshoot and escalate any data quality issues or equipment malfunctions promptly.
• Conduct onboard data checks and basic field processing using industry-standard software.
• Provide preliminary interpretation of key features for operational decision-making.
• Prepare daily reports, operational logs, and preliminary data summaries for clients and onshore 
teams.
• Ensure proper documentation of survey activities, including acquisition parameters and QC 
observations.
• Liaise effectively with Party Chief, Client Representatives, and onshore technical teams.
• Participate in daily briefings and handovers during shift changes.
• Participate in safety drills and contribute to a culture of safety awareness onboard.
• Support equipment maintenance and calibration as needed.
• Perform other geophysical or survey-related duties as assigned by the Project Manager or Party 
Chief."|10 year of experience|Diploma / Degree /|Malay / English /|Summarizing / Documenting / Evaluating / Crisis managing / Explaining /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Project Based|RM 1,600 - RM 1,700|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI3Mg==|2026-02-18 12:21:58
MARINE CREW - SECOND OFFICER SDPO - FOR RESOLUTION|BINTANG SAMUDERA SDN BHD|KOTA KINABALU|Operations|KOTA KINABALU|2|"The Second Officer or Third Officer reports to the Chief Officer. It is not a normal complement but, if carried on board, is responsible to the Master for the navigation of the vessel, as well as upkeep and maintenance of the Medicine Chest, Life Saving Appliances (LSA), and Fire Fighting Appliances (FFA).
In certain circumstances, the Second Officer or Third Officer may be allocated additional responsibilities at the discretion of the Master or Chief Officer. Where an additional Second Officer is carried on board, the Master shall apportion their duties and responsibilities.

60 Days contract"|At least 2 year of experience|Malaysian Skills Certificate (SKM) /|Malay / English /|Written communication / Documenting / Reporting / Collaboration /|Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Contract|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Daily Salary|RM 1,200 - RM 1,260|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTQwMg==|2026-02-18 12:21:58
MATERIAL COORDINATOR|PEMBORONG MAJU BERSATU SDN BHD|LABUAN|Non Executive|LABUAN|1|"Qualifications/Requirements :
•	At least diploma in Engineering or equivalent
•	At least 3 years of relevant working experience in Oil & Gas and/or Petrochemical industry with
1 TA experience OR;
•	At least 4 years of relevant working experience in any other industry.

 :
The Material Coordinator shall be responsible for the following:
•	Act as the TACS focal person to liaise with SMSO on all materials procurement.
•	Prepare the materials procurement strategy.
•	Compile and purchase common materials such as common gaskets, stud bolts, small valves, pipe flanges/fittings and other general consumables required for the Turnaround
•	Determine the equipment hardware inter-changeability and recommend the economic order quantity of materials.
•	Manage the materials tracking system and prioritize all long lead items.
•	Generate status reports for materials purchasing, tracking and expediting.
•	Inform the planning engineer and the relevant end users to inspect/accept materials which arrived at the warehouse. 
•	Control the bag & tag, storage and issuance of materials to execution team.
•	Assist in procuring and expediting of emergent materials during the Turnaround Execution Phase.
•	Reconcile materials at the end of the Turnaround, including costs and return to customers stock.
•	Produce the surplus materials list for future reference."|At least 3 year of experience|Diploma /|Malay / English /|Negotiating / Reporting / Problem-solving / Cost-benefit analyzing /|Microsoft Office /|Contract|Office Hour|08:00 AM to 05:00 PM|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Monthly Salary|RM 2,300 - RM 5,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTA3OQ==|2026-02-18 12:21:58
TESTING ENGINEER|SUNDUWAN ENGINEERING SERVICES SDN BHD|KOTA KINABALU|Engineer|KOTA KINABALU|1|Ensure test runs and results within the given time frame. Develop and execute test plans to validate software functionality against requirements and specifications. Identify, report and track software defects and issues. Perform functional, performance, security and regression testing of software products.|At least 2 year of experience|Degree /|Malay / English /|Mentoring /|Microsoft Excel /|Full Time|Office Hour|08:00 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 2,000 - RM 2,500|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTI1Mg==|2026-02-18 12:21:58
MBES Processor|HURRICANE GEO INSPECTION SURVEY SDN. BHD.|KOTA KINABALU|Senior Executive|KOTA KINABALU|1|"Key Responsibilities:

Process and analyze MBES data to produce high-quality bathymetric maps and reports.

Apply corrections, filters, and quality control measures to ensure data integrity.

Work with surveyors and vessel crews to optimize MBES data acquisition.

Troubleshoot and resolve processing-related issues during offshore operations.

Utilize industry-standard software such as Qimera, CARIS, EIVA, and Hypack for data processing.

Ensure compliance with health, safety, and environmental (HSE) policies and procedures.

Maintain accurate records, logs, and documentation for processed survey data.

Assist in the mobilization and demobilization of survey equipment.

Qualifications & Requirements:

Bachelor’s degree in Geomatics/Surveying, Naval Hydrographic training establishment, or a professional survey institution, with 3 years of relevant offshore survey experience.

OR Diploma in Geomatics/Surveying, Naval Hydrographic training establishment, or a professional survey institution, with 6 years of relevant offshore survey experience.

Experience in MBES data processing and analysis.

Proficiency in industry-standard software such as Qimera, CARIS, EIVA, or Hypack.

Strong understanding of MBES acquisition principles, calibration, and data validation."|At least 5 year of experience|Degree /|English / Chinese /|Problem-solving / Conceptual thinking / Troubleshooting /|Risk Management /|Temporary|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday /|Sunday /|Daily Salary|RM 1,700 - RM 1,900|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE3Mg==|2026-02-18 12:21:58
Mechanical Static Planner|PEMBORONG MAJU BERSATU SDN BHD|LABUAN|Non Executive|LABUAN|1|"Location – Labuan

Required Qualifications: 

•	Candidate must possess at least a Certificate or Diploma in Mechanical Engineering or equivalent
•	At least 2 years of relevant working experience in Oil & Gas and/or Petrochemical industry OR; At least 3 years of relevant working experience in any other industry.
•	Knowledge of Microsoft packages including Word, Outlook, Access, Excel
•	Effective communication, including writing, speaking and interpersonal communication"|At least 5 year of experience|Diploma /|Malay / English /|Problem-solving / Managing / Planning /|Microsoft Project / Project Planning and Scheduling / Project Documentation /|Contract|Office Hour|07:30 AM to 04:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 5,000 - RM 6,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTExMA==|2026-02-18 12:21:58
Slickline Operator|DIMENSION BID M SDN BHD|KOTA KINABALU|Non Executive|KOTA KINABALU|1|"Slickline Operator – Slickline Services
To mechanically execute and manipulate down hole tools and equipment in the field of wireline to minimize oil deferment and maximize the profitability of oil and gas wells in a safe and professional manner to recognised procedures and good oilfield practices.
REQUIREMENTS
1. At least 3-5 years experience in the related field.
2. Possess a Diploma/Degree in the field of Engineering (Mechanical or equivalent).
3. Competent with IWCF Level 3/IADC certification
Roles & Responsibilities
Safety
• Adhere to the Health, Safety and Environmental (HSE) policies, operational procedures and practices, general safety while carrying out operations.
• Demonstrate a personal commitment to Quality, Health, Safety and Environment
• Conduct pre-job safety and operation meetings with all personnel involved
• Adhere to clients’ Health, Safety and Environmental policy while performing activity at worksite
• To follow company HSE-MS and yearly HSE plans.
Operations
Includes but is not limited to and not in order of priority • Planning and preparation, load-out and backload, rigging, clean-up and basic maintenance of tools, equipment and Wireline units for all operations.
• Transfer wireline units from platform to platform and from platform to base in a safe and correct manner.
• To ensure a valid work permit is obtained for all activity at worksite.
• To attend briefing session with Field Service Manager at least one day prior to going offshore.
• To attend De-briefing session with Field Service Manager immediately after returning from worksite. • Service various down-hole tools and auxiliary equipment. • Perform Wireline cable tests and re-heads, and preventative maintenance. • Operate the slickline equipment, which involves deploying and retrieving wirelines, tools, and pressure control equipment into and out of the wellbore. • Maintaining and repairing the slickline equipment to ensure it is in good working order as per maintenance requirements/specifications. • Ensure that all equipment is safe to use, and that all safety precautions are in place before commencing a slickline operation.
• Planning and executing slickline operations with other members of the well services team, developing job plans, identifying the tools and equipment required for the job, and coordinating activities accordingly. • May be responsible for interpreting well logs and other data to identify potential issues or opportunities for improvement in well performance. • Responsible for maintaining accurate records of all slickline operations, including job plans, equipment used, and results obtained.
Planning & Coordination
• Mandatory attendance to Briefing and De-briefing with Field Service Manager prior to going out to worksite and upon returning to base from worksite.
• Compile wireline reports at the end of each task and plan activities for the following day.
• Provide input in improving operational efficiency and safety.
• Provide conscientious effort towards cost containment.
• Impart the necessary skills and knowledge for the development of Wireline Assistant and Trainee Wireline Operator and assess their competencies.
Quality
• To understand and follow Company ISO 9001:2015
• Check integrity of lifting gear and safe operations of wireline mast and Gantry cranes or other form of lifting facility
• Maintain the full functionality and integrity of wireline units and power packs
• Maintain the full functionality and integrity of sub-surface control equipment and accessories
• Maintain the full functionality of wireline tools through surface function test and check the integrity of all tool connections
• Maintain a tool inventory and spare parts availability
• Inspect the quality and ensure adequate length of wire to be used for wireline activity
• Take accurate inventory of wireline tools, spare, consumable, hand tools and other accessories within the package every trips/assignment
• To conduct onsite equipment routine maintenance to ensure equipment reliability and efficiency
• Check validity of equipment certification conformance such as MPI’s, Sling expiry date, Hydrotest and etc.
• To accurately measure slickline tools dimensions to ensure they will fit the smallest restriction in well prior to use them for wireline activity.
• To accurately record wireline tool string configuration for all wireline activity/run in Daily Wireline Operation Report."|At least 4 year of experience|Diploma /|Malay / English /|Speaking / Writing /|Microsoft Office /|Full Time|Flexible Hour|to|Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday /|Friday / Saturday /|Monthly Salary|RM 4,000 - RM 4,999|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTE2Ng==|2026-02-18 12:21:58
SALES ENGINEER|EXACT AUTOMATION SDN BHD|KOTA KINABALU|Senior Executive|KOTA KINABALU|3|"1.Job description

Formulate strategies to achieve allocated sales targets and objectives.
Develop a strong relationship with key stakeholders in current and prospective customers, including Engineers, Managers, Operation, or technical people etc.
Ensure full communications and coordination between customers and proposal department as well as ensure Engineer/Commercial Executive prepare proposal and hand over to customers on time.
Prepare, update and manage sales forecasts consistently.
Monitor sales quotations, follow up with customers and take steps necessary to expedite execution of a purchase order to be closed within the forecasted month.
Support and participate actively in contract negotiations towards successful completion.
Establish contact and liaise with customers and consultants to promote company capabilities to secure business opportunities.
Define/identify customer requirements, obtain customer budget allocation, and provide comprehensive support to the customer to promote company supplies and service to increase company chances in the oil and gas market.
Solicit customer feedback. Communicate issues to management related departments for a proper solution to be reverting back to the customer. (Project Management, Engineering, Service Department, Logistic, Quality Assurance, etc).
Develop, maintain a business plan and develop new customer pool.
Assist in performing analytical functions and provide information concerning the latest technological application in the industry and company's competitors.
Assist in organization exhibition, conference and other sales event.
Prepare & update sales reports and documentation (Weekly Sales Plan, CRM sales pipeline, sales strategic plans etc).
Prepare & Deliver Presentations that explain products/solutions to customers and prospective customer.
Any other duties as may be assigned by immediate superior/manager.

2. Requirements :
•	Candidates must possess at least a Degree in Electronic & Electrical / Control & 
        Instrumentation / Mechatronic / Oil & Gas Petroleum/ Process Engineering or equivalent.
•	Strong analytical and ability to priorities the workload.
•	Positive attitude, initiative, hardworking and team player with strong interpersonal skills.
•	Excellent written and verbal communication skills in English.
•	Self-starter with a strong desire and to deliver superiors results.
•	Willing to travel locally and outstation. Overseas traveling will be required depending on 
        your accounts/customers.
•	Outspoken and sociable personnel.
•	Good presentation skills.
•	Ability to work independently with minimum supervision.
•	Fresh graduates are encouraged to apply.
•	SALES experience needed:-2 to 3 years' experience for the sales position and 5 years above 
        experience for the senior sales position.

Candidates with the following criteria will have added advantange:
•	Good and strong existing connection in Oil & Gas Industry especially on End User EPCC, Consultants and fabricators.
•	Priority will be given to candidates with knowledge, understanding and experience on:
-PLC system (process control, process safety, SCADA and telemetry system).
- Fire and Gas Systems (FGS), Shutdown System (SDS), Process Monitoring and Control System (PMCS) and Intelligent Motor Control System (IMCS).
- Solar System/Wind Turbine for Hazardous location, field instruments, Nav Aid, wireless radio communications.
- Power Control and Electrical products (motor control centre, variable speed drive and soft starter).
- Flare Combustion- Flare Ignition System (Electronic and Retractable Pilot, Flame Front Generator Pilot System, Continuum Electronic Ignitor), Pilots, Flare Tip/Stack etc.
- Enclosed Combustion System (Vapor Combustion Unit (VCU), Low Emission Burner, Tail Gas Incinerators (CEB).
- Gas and Vapor Recovery System (Carbon Bed recovery Unit, Membrane Recovery Unit, Marine Recovery Unit, Mechanical Recovery Unit, Wellhead Compression).
- Turbo Machinery Control (TMC), Gas Turbine Control, Compressor Control, Anti-Surge Control & Engine LCP.

Benefits:
•	Good remuneration package.
•	Building up a good network and career advancement in Oil & Gas industry Malaysia and South East Asia.
•	Learning of Professional selling skill with training provided.
•	Good working environment.
•	Opportunities to go for overseas training, FAT, visit automation fair in US and seminars.
•	Career advancement.

Location : Kota Kinabalu, Sabah

Candidates with an existing strong connection in the Oil & Gas Industry are encouraged to apply.

Kindly send your CV via email address at: recruitment@exactautomation.com.my"|At least 2 year of experience|Degree /|Malay / English /|Customer service / Presenting / Documenting / Reporting / Networking / Creative thinking / Speaking /|Microsoft Access / Microsoft Excel / Microsoft Office / Microsoft Outlook / Microsoft PowerPoint / Microsoft Word  /|Full Time|Office Hour|08:30 AM to 05:30 PM|Monday / Tuesday / Wednesday / Thursday / Friday /|Saturday / Sunday /|Monthly Salary|RM 3,000 - RM 8,000|https://jobs.sabah.gov.my/job-posting/job-detail?XcJ74MDInI9InfXkANi5uNNsisLDodwidn=MTEzMQ==|2026-02-18 12:21:58
